tag,total_games,avg_owners,avg_positive_ratio,avg_success_score,avg_price
Open World,240,1162604.0,0.725,10.63,20.97
Multiplayer,394,1981612.0,0.735,10.23,11.45
Co-op,111,1748198.0,0.816,10.09,14.19
FPS,391,1548645.0,0.732,9.62,10.76
Fantasy,107,561916.0,0.755,9.4,14.99
Zombies,148,986047.0,0.725,9.39,10.39
Survival,225,1187933.0,0.679,9.34,14.1
Story Rich,148,558243.0,0.861,9.26,15.77
Sci-fi,150,724833.0,0.76,9.25,12.71
RTS,168,475030.0,0.737,9.12,12.64
Great Soundtrack,118,444364.0,0.881,9.03,12.31
Fighting,106,436651.0,0.755,8.93,21.3
World War II,128,653086.0,0.72,8.74,15.07
Classic,166,325030.0,0.844,8.71,8.45
Space,204,298775.0,0.697,8.68,14.0
Management,115,223043.0,0.685,8.64,15.07
Turn-Based,163,309908.0,0.755,8.56,14.17
Tower Defense,151,226722.0,0.743,8.56,7.4
Pixel Graphics,225,203444.0,0.832,8.41,7.8
Free to Play,1583,580347.0,0.708,8.41,0.0
