name,owner_midpoint,positive_ratio,success_score,price,genre,genre_rank
Dota 2,150000000,0.8587102445738107,21.02522981893472,0.0,Action,1
Counter-Strike,15000000,0.9738881546534452,20.933579722820717,9.13,Action,2
Team Fortress 2,35000000,0.9381067983233773,20.780702530290846,0.0,Action,3
Portal 2,15000000,0.9865035578933845,20.228552697576472,9.13,Adventure,1
Terraria,7500000,0.9703982961081561,20.20759544095303,8.88,Adventure,2
Unturned,35000000,0.9028501246698102,20.13976133141139,0.0,Adventure,3
Unturned,35000000,0.9028501246698102,20.13976133141139,0.0,Casual,1
Factorio,1500000,0.9851359963816534,19.727578693479405,26.67,Casual,2
Clicker Heroes,7500000,0.8998392010832769,19.6688901739803,0.0,Casual,3
GameGuru,350000,0.7376116978066612,15.088207663021793,19.04,Game Development,1
GameMaker Studio 2 Desktop,35000,0.7609195402298851,12.840761358044833,96.51,Game Development,2
001 Game Creator,10000,0.813953488372093,12.744755067209189,59.04,Game Development,3
Path of Exile,15000000,0.9212842619997427,20.045216974765548,0.0,Massively Multiplayer,1
Red Orchestra 2: Heroes of Stalingrad with Rising Storm,3500000,0.9221126181668722,18.7499584527631,19.04,Massively Multiplayer,2
Rust,7500000,0.8040382517449348,18.698625101299644,35.29,Massively Multiplayer,3
openCanvas 7,10000,0.7877094972067039,14.839443315026045,57.15,Photo Editing,1
openCanvas 6,10000,0.869281045751634,14.803214592049077,38.09,Photo Editing,2
Live Wallpaper Master,75000,0.6835443037974683,14.74723457846717,3.67,Photo Editing,3
The Elder Scrolls V: Skyrim,15000000,0.940730374939545,20.329016348119875,12.69,RPG,1
Terraria,7500000,0.9703982961081561,20.20759544095303,8.88,RPG,2
The Witcher® 3: Wild Hunt,7500000,0.9769024878687514,20.092963850993364,31.74,RPG,3
Rocket League®,7500000,0.9174814753174444,19.69104739035019,19.04,Racing,1
SpeedRunners,1500000,0.9347796853287911,18.271786613868155,13.96,Racing,2
TrackMania Nations Forever,3500000,0.8689974726200506,18.265828398312546,0.0,Racing,3
Garry's Mod,15000000,0.956772781556948,20.65769969010016,8.88,Simulation,1
Euro Truck Simulator 2,7500000,0.9680986231749127,20.147911401661144,19.04,Simulation,2
Factorio,1500000,0.9851359963816534,19.727578693479405,26.67,Simulation,3
Rocket League®,7500000,0.9174814753174444,19.69104739035019,19.04,Sports,1
VRChat,3500000,0.8859682234652209,18.556621217720025,0.0,Sports,2
SpeedRunners,1500000,0.9347796853287911,18.271786613868155,13.96,Sports,3
Dota 2,150000000,0.8587102445738107,21.02522981893472,0.0,Strategy,1
Sid Meier's Civilization® V,7500000,0.958653738994762,20.042208148625907,25.39,Strategy,2
Factorio,1500000,0.9851359963816534,19.727578693479405,26.67,Strategy,3
